SOC_Code,SOC_Title,Occupation_Type,NAICS_Code,Delta_Sector_ID,Delta_Sector,Delta_Sub_Industry,NEM_Code,Employment_2024,Employment_2034
00-0000,"Total, all occupations",Summary,2111,13,Energy & Utilities,Oil & Gas,211000,122.5,100.0
11-0000,Management occupations,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,18.5,15.1
11-1000,Top executives,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,7.4,6.1
11-1011,Chief executives,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.2,0.1
11-1021,General and operations managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,7.3,5.9
11-2000,"Advertising, marketing, promotions, public relations, and sales managers",Summary,2111,13,Energy & Utilities,Oil & Gas,211000,0.7,0.6
11-2020,Marketing and sales managers,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,0.6,0.5
11-2021,Marketing managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.3,0.3
11-2022,Sales managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.3,0.2
11-2030,Public relations and fundraising managers,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,0.1,0.1
11-2032,Public relations managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.1,0.1
11-3000,Operations specialties managers,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,4.8,3.9
11-3010,Administrative services and facilities managers,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,0.5,0.4
11-3012,Administrative services managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.2,0.2
11-3013,Facilities managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.2,0.2
11-3021,Computer and information systems managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.6,0.5
11-3031,Financial managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,2.2,1.8
11-3051,Industrial production managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.9,0.8
11-3061,Purchasing managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.2,0.1
11-3071,"Transportation, storage, and distribution managers",Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.2,0.2
11-3121,Human resources managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.2,0.2
11-9000,Other management occupations,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,5.6,4.6
11-9021,Construction managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,1.5,1.2
11-9041,Architectural and engineering managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,1.2,1.0
11-9121,Natural sciences managers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.2,0.1
11-9141,"Property, real estate, and community association managers",Line item,2111,13,Energy & Utilities,Oil & Gas,211000,1.2,0.9
11-9199,"Managers, all other",Line item,2111,13,Energy & Utilities,Oil & Gas,211000,1.6,1.3
13-0000,Business and financial operations occupations,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,11.5,9.4
13-1000,Business operations specialists,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,5.4,4.4
13-1020,Buyers and purchasing agents,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.7,0.6
13-1041,Compliance officers,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,1.0,0.8
13-1070,Human resources workers,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,0.5,0.4
13-1071,Human resources specialists,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.5,0.4
13-1080,Logisticians and project management specialists,Summary,2111,13,Energy & Utilities,Oil & Gas,211000,1.3,1.1
13-1081,Logisticians,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.5,0.4
13-1082,Project management specialists,Line item,2111,13,Energy & Utilities,Oil & Gas,211000,0.9,0.7
