SOC_Code,SOC_Title,Occupation_Type,Employment_2024,Employment_2034,Employment_Dist_Pct_2024,Employment_Dist_Pct_2034,Change_Numeric,Change_Percent,Percent_Self_Employed,Occupational_Openings,Median_Annual_Wage,Typical_Education,Work_Experience,OJT_Training
00-0000,"Total, all occupations",Summary,169956.1,175167.9,100,100,5211.8,3.1,5.8,18863.3,49500,—,—,—
11-0000,Management occupations,Summary,13607.6,14441,8,8.2,833.4,6.1,14.1,1147.9,122090,—,—,—
11-1000,Top executives,Summary,4049.9,4228.1,2.4,2.4,178.2,4.4,2.8,333.1,104990,—,—,—
11-1011,Chief executives,Line item,309.4,322.7,0.2,0.2,13.3,4.3,25.9,22.2,206420,Bachelor's degree,5 years or more,None
11-1021,General and operations managers,Line item,3712.9,3876.8,2.2,2.2,164,4.4,0.9,308.7,102950,Bachelor's degree,5 years or more,None
11-1031,Legislators,Line item,27.7,28.6,0,0,0.9,3.4,,2.2,44810,Bachelor's degree,Less than 5 years,None
11-2000,"Advertising, marketing, promotions, public relations, and sales managers",Summary,1182.4,1243.5,0.7,0.7,61.2,5.2,2.2,95.6,144530,—,—,—
11-2011,Advertising and promotions managers,Line item,27,26.4,0,0,-0.6,-2.2,20.7,2.1,126960,Bachelor's degree,Less than 5 years,None
11-2020,Marketing and sales managers,Summary,1026.5,1082.2,0.6,0.6,55.7,5.4,2,83.3,148870,—,—,—
11-2021,Marketing managers,Line item,407,433.7,0.2,0.2,26.7,6.6,3.6,34.3,161030,Bachelor's degree,5 years or more,None
11-2022,Sales managers,Line item,619.5,648.5,0.4,0.4,29,4.7,0.9,49,138060,Bachelor's degree,Less than 5 years,None
11-2030,Public relations and fundraising managers,Summary,128.9,134.9,0.1,0.1,6.1,4.7,0.3,10.2,132870,—,—,—
11-2032,Public relations managers,Line item,83.2,87.3,0,0,4.1,5,0.3,6.6,138520,Bachelor's degree,5 years or more,None
11-2033,Fundraising managers,Line item,45.7,47.6,0,0,1.9,4.2,0.2,3.6,123480,Bachelor's degree,5 years or more,None
11-3000,Operations specialties managers,Summary,2789.5,3072.3,1.6,1.8,282.7,10.1,1.4,231.7,140330,—,—,—
11-3010,Administrative services and facilities managers,Summary,422.6,440.9,0.2,0.3,18.3,4.3,0,36.4,106880,—,—,—
11-3012,Administrative services managers,Line item,271.2,283.8,0.2,0.2,12.6,4.6,0,23.2,108390,Bachelor's degree,Less than 5 years,None
11-3013,Facilities managers,Line item,151.4,157.1,0.1,0.1,5.7,3.8,,13.2,104690,Bachelor's degree,Less than 5 years,None
11-3021,Computer and information systems managers,Line item,667.1,768.7,0.4,0.4,101.6,15.2,0.9,55.6,171200,Bachelor's degree,5 years or more,None
11-3031,Financial managers,Line item,868.6,997.4,0.5,0.6,128.8,14.8,2.4,74.6,161700,Bachelor's degree,5 years or more,None
11-3051,Industrial production managers,Line item,241.9,246.5,0.1,0.1,4.6,1.9,2.6,17.1,121440,Bachelor's degree,5 years or more,None
11-3061,Purchasing managers,Line item,83.5,86.1,0,0,2.6,3.1,0.8,6.4,139510,Bachelor's degree,5 years or more,None
11-3071,"Transportation, storage, and distribution managers",Line item,216.7,229.8,0.1,0.1,13.1,6.1,1.7,18.5,102010,High school diploma or equivalent,5 years or more,None
11-3111,Compensation and benefits managers,Line item,20.9,20.9,0,0,0,0.2,1.4,1.5,140360,Bachelor's degree,5 years or more,None
11-3121,Human resources managers,Line item,221.9,233,0.1,0.1,11.1,5,0.6,17.9,140030,Bachelor's degree,5 years or more,None
11-3131,Training and development managers,Line item,46.4,49.2,0,0,2.7,5.8,,3.8,127090,Bachelor's degree,5 years or more,None
11-9000,Other management occupations,Summary,5585.8,5897.1,3.3,3.4,311.3,5.6,31.2,487.4,104030,—,—,—
11-9013,"Farmers, ranchers, and other agricultural managers",Line item,836.1,825,0.5,0.5,-11.1,-1.3,62.6,85.5,87980,High school diploma or equivalent,5 years or more,None
11-9021,Construction managers,Line item,550.3,598.4,0.3,0.3,48.1,8.7,35.8,46.8,106980,Bachelor's degree,None,Moderate-term on-the-job training
11-9030,Education and childcare administrators,Summary,710.2,708.2,0.4,0.4,-2,-0.3,2.2,45.6,100650,—,—,—
11-9031,"Education and childcare administrators, preschool and daycare",Line item,90.2,87.9,0.1,0.1,-2.3,-2.5,4.9,5.5,56270,Bachelor's degree,Less than 5 years,None
11-9032,"Education administrators, kindergarten through secondary",Line item,333.3,328.1,0.2,0.2,-5.1,-1.5,1.2,20.8,104070,Master's degree,5 years or more,None
11-9033,"Education administrators, postsecondary",Line item,226.6,230.5,0.1,0.1,4,1.7,2.2,15.1,103960,Master's degree,Less than 5 years,None
11-9039,"Education administrators, all other",Line item,60.2,61.7,0,0,1.5,2.5,3.5,4.1,89040,Bachelor's degree,Less than 5 years,None
11-9041,Architectural and engineering managers,Line item,212.5,220.5,0.1,0.1,8,3.8,0.2,14.5,167740,Bachelor's degree,5 years or more,None
