Function_ID,Function_Name,SOC_Code,Delta_Sector_ID,Delta_Sector,Employment_Thousands
1,Executive & General Management,11-1011,1,Finance & Financial Services,17.4
1,Executive & General Management,11-1011,2,Technology & Software,17.6
1,Executive & General Management,11-1011,3,Healthcare & Life Sciences,17.5
1,Executive & General Management,11-1011,4,Law Firms & Legal Services,1.1
1,Executive & General Management,11-1011,5,Management Consulting Firms,13.7
1,Executive & General Management,11-1011,6,Accounting & Tax Firms,1.9
1,Executive & General Management,11-1011,7,Advertising & PR Agencies,4.0
1,Executive & General Management,11-1011,8,Staffing & Recruitment Agencies,3.0
1,Executive & General Management,11-1011,9,Real Estate & Property,3.6
1,Executive & General Management,11-1011,10,Education & Academia,4.5
1,Executive & General Management,11-1011,11,Government & Public Administration,8.8
1,Executive & General Management,11-1011,12,Media Publishing & Entertainment,2.2
1,Executive & General Management,11-1011,13,Energy & Utilities,1.0
1,Executive & General Management,11-1011,14,Architecture & Engineering Firms,5.2
1,Executive & General Management,11-1011,15,Manufacturing,7.7
1,Executive & General Management,11-1011,16,Retail Trade,1.8
1,Executive & General Management,11-1011,17,Construction,7.2
1,Executive & General Management,11-1011,18,Transportation & Warehousing,2.6
1,Executive & General Management,11-1011,19,Wholesale Trade,9.9
1,Executive & General Management,11-1011,20,Accommodation & Food Services,1.6
1,Executive & General Management,11-1021,1,Finance & Financial Services,227.0
1,Executive & General Management,11-1021,2,Technology & Software,154.2
1,Executive & General Management,11-1021,3,Healthcare & Life Sciences,140.7
1,Executive & General Management,11-1021,4,Law Firms & Legal Services,18.5
1,Executive & General Management,11-1021,5,Management Consulting Firms,146.0
1,Executive & General Management,11-1021,6,Accounting & Tax Firms,34.3
1,Executive & General Management,11-1021,7,Advertising & PR Agencies,56.5
1,Executive & General Management,11-1021,8,Staffing & Recruitment Agencies,49.6
1,Executive & General Management,11-1021,9,Real Estate & Property,76.6
1,Executive & General Management,11-1021,10,Education & Academia,26.4
1,Executive & General Management,11-1021,11,Government & Public Administration,73.4
1,Executive & General Management,11-1021,12,Media Publishing & Entertainment,32.4
1,Executive & General Management,11-1021,13,Energy & Utilities,22.4
1,Executive & General Management,11-1021,14,Architecture & Engineering Firms,101.8
1,Executive & General Management,11-1021,15,Manufacturing,158.0
1,Executive & General Management,11-1021,16,Retail Trade,208.3
1,Executive & General Management,11-1021,17,Construction,279.1
1,Executive & General Management,11-1021,18,Transportation & Warehousing,113.2
1,Executive & General Management,11-1021,19,Wholesale Trade,245.4
1,Executive & General Management,11-1021,20,Accommodation & Food Services,221.8
1,Executive & General Management,11-1031,11,Government & Public Administration,3.4
2,Finance Accounting & FP&A,11-3031,1,Finance & Financial Services,267.9
2,Finance Accounting & FP&A,11-3031,2,Technology & Software,34.2
2,Finance Accounting & FP&A,11-3031,3,Healthcare & Life Sciences,46.0
2,Finance Accounting & FP&A,11-3031,4,Law Firms & Legal Services,3.6
2,Finance Accounting & FP&A,11-3031,5,Management Consulting Firms,21.0
2,Finance Accounting & FP&A,11-3031,6,Accounting & Tax Firms,54.6
2,Finance Accounting & FP&A,11-3031,7,Advertising & PR Agencies,6.8
2,Finance Accounting & FP&A,11-3031,8,Staffing & Recruitment Agencies,6.8
2,Finance Accounting & FP&A,11-3031,9,Real Estate & Property,20.2
2,Finance Accounting & FP&A,11-3031,10,Education & Academia,16.0
2,Finance Accounting & FP&A,11-3031,11,Government & Public Administration,30.1
2,Finance Accounting & FP&A,11-3031,12,Media Publishing & Entertainment,5.5
2,Finance Accounting & FP&A,11-3031,13,Energy & Utilities,5.7
