Delta_Sector_ID,Delta_Sector,Delta_Sub_Industry,NAICS_Code,NAICS_Title,Mapping_Type
1,Finance & Financial Services,Commercial Banking,52211,Commercial Banking,Direct
1,Finance & Financial Services,Retail Banking,52212,Savings Institutions,Direct
1,Finance & Financial Services,Retail Banking,52213,Credit Unions,Direct
1,Finance & Financial Services,Lending / Fintech (partial),5222,Nondepository Credit Intermediation,Direct
1,Finance & Financial Services,Financial Services,5223,Activities Related to Credit Intermediation,Direct
1,Finance & Financial Services,Capital Markets,5231,Securities and Commodity Exchanges,Direct
1,Finance & Financial Services,Investment Banking / Brokerage,5232,Securities and Commodity Contracts Brokerage,Direct
1,Finance & Financial Services,Asset Mgmt / PE / VC / Hedge Funds,5239,Other Financial Investment Activities,Direct
1,Finance & Financial Services,Insurance,5241,Insurance Carriers,Direct
1,Finance & Financial Services,Insurance,5242,Insurance Agencies and Brokerages,Direct
1,Finance & Financial Services,Insurance,5251,Insurance and Employee Benefit Funds,Direct
2,Technology & Software,Software Publishers,5112,Software Publishers,Direct
2,Technology & Software,Cloud Computing,5182,Computing Infrastructure Providers,Direct
2,Technology & Software,Search / AI Platforms,51822,Web Search Portals and All Other Info Services,Direct
2,Technology & Software,IT Services,5415,Computer Systems Design and Related Services,Direct
2,Technology & Software,Semiconductor,3344,Semiconductor and Electronic Component Mfg,Direct
2,Technology & Software,Telecommunications,517,Telecommunications,Direct
3,Healthcare & Life Sciences,Pharmaceuticals,3254,Pharmaceutical and Medicine Manufacturing,Direct
3,Healthcare & Life Sciences,Medical Devices,3391,Medical Equipment and Supplies Manufacturing,Direct
3,Healthcare & Life Sciences,Life Sciences R&D,54171,R&D in Physical Engineering and Life Sciences,Direct
3,Healthcare & Life Sciences,Health Insurance,524114,Direct Health and Medical Insurance Carriers,Composite
3,Healthcare & Life Sciences,Healthcare Admin,622,Hospitals,Composite
3,Healthcare & Life Sciences,Healthcare Admin,621,Ambulatory Health Care Services,Composite
4,Law Firms & Legal Services,Law Practice,5411,Legal Services,Direct
5,Management Consulting Firms,Management Consulting,5416,Management Scientific and Technical Consulting,Direct
6,Accounting & Tax Firms,Accounting,5412,Accounting Tax Preparation Bookkeeping Payroll,Direct
7,Advertising & PR Agencies,Advertising,5418,Advertising PR and Related Services,Direct
7,Advertising & PR Agencies,Market Research,54191,Marketing Research and Public Opinion Polling,Direct
8,Staffing & Recruitment Agencies,Staffing,5613,Employment Services,Direct
9,Real Estate & Property,Real Estate,531,Real Estate,Direct
10,Education & Academia,Higher Ed,6113,Colleges Universities and Professional Schools,Direct
10,Education & Academia,K-12,6111,Elementary and Secondary Schools,Composite
10,Education & Academia,Educational Support,6117,Educational Support Services,Direct
11,Government & Public Administration,Federal Government,921,Executive Legislative and General Government,Direct
11,Government & Public Administration,Justice,922,Justice Public Order and Safety Activities,Direct
11,Government & Public Administration,Economic Programs,926,Administration of Economic Programs,Direct
11,Government & Public Administration,National Security,928,National Security and International Affairs,Direct
12,Media Publishing & Entertainment,Publishing,5111,Newspaper Periodical Book and Directory Publishers,Direct
