Function_ID,Function_Name,Sector_1_Finance & Financial ,Sector_2_Technology & Softwar,Sector_3_Healthcare & Life Sc,Sector_4_Law Firms & Legal Se,Sector_5_Management Consultin,Sector_6_Accounting & Tax Fir,Sector_7_Advertising & PR Age,Sector_8_Staffing & Recruitme,Sector_9_Real Estate & Proper,Sector_10_Education & Academia,Sector_11_Government & Public ,Sector_12_Media Publishing & E,Sector_13_Energy & Utilities,Sector_14_Architecture & Engin,Sector_15_Manufacturing,Sector_16_Retail Trade,Sector_17_Construction,Sector_18_Transportation & War,Sector_19_Wholesale Trade,Sector_20_Accommodation & Food,Row_Total
1,Executive & General Management,247.5,175.9,238.2,19.6,165.3,36.4,61.6,54.5,82.1,42.6,133.1,35.2,24.8,116.6,187.1,211.0,289.1,117.0,268.8,228.6,2735.0
2,Finance Accounting & FP&A,717.5,123.3,148.7,15.6,86.2,505.8,27.1,35.7,77.6,51.0,201.0,16.2,21.3,60.1,104.4,34.1,85.1,30.8,101.4,25.2,2468.1
3,Legal & Compliance,124.0,31.8,57.4,757.6,19.0,4.8,9.2,11.4,14.6,10.0,314.0,3.9,7.7,10.8,16.2,5.1,8.6,14.1,14.5,1.4,1436.1
4,Human Resources & People Ops,118.4,117.5,157.4,10.5,65.5,25.8,20.0,155.0,17.0,35.8,83.8,8.5,8.6,40.7,85.7,32.8,27.9,55.1,53.5,52.2,1171.7
5,Marketing & Communications,148.7,175.4,103.3,13.0,138.5,12.7,137.3,27.0,30.0,54.5,20.6,37.9,7.1,39.4,52.3,31.2,24.1,12.8,100.1,17.9,1183.8
6,Sales & Business Development,1100.2,471.9,113.9,2.8,128.3,27.7,131.3,66.4,24.6,12.3,5.9,57.8,8.0,40.8,241.5,646.3,166.7,80.3,1107.4,57.1,4491.2
7,Information Technology,455.1,1827.6,308.3,19.2,160.1,51.1,58.6,146.4,14.7,77.3,186.6,55.9,21.1,203.5,137.7,16.7,24.5,43.9,171.6,5.8,3985.7
8,Data Analytics & Research,142.9,109.05,84.4,2.35,142.35,20.55,16.3,22.45,2.65,13.1,108.45,5.45,6.75,27.45,16.1,1.7,1.65,6.6,18.0,0.25,748.5
9,Supply Chain Procurement & Operations,85.8,149.1,128.4,7.5,95.6,10.3,25.8,38.9,27.1,27.5,88.5,9.0,18.8,191.3,126.8,11.3,241.0,108.0,113.5,12.0,1516.2
10,Strategy & Corporate Development,151.5,109.65,115.1,5.65,172.65,26.05,22.6,40.85,17.35,50.2,350.25,9.65,12.95,49.75,59.7,14.5,17.85,19.8,46.3,8.65,1301.0
11,Healthcare & Clinical,93.5,8.3,7112.7,1.5,12.2,7.9,196.7,209.9,0,75.6,336.0,0.2,0.1,4.8,6.2,572.9,0,1.5,23.8,7.9,8671.7
12,Education & Instruction,0,13.1,38.1,0.5,0.7,0,0,72.2,0,1387.7,64.1,0.8,0,0.2,0.1,0.2,0,0.5,0.2,1.7,1580.1
13,Science & Research,1.4,3.9,259.9,0,55.4,0,10.3,13.1,0.2,32.3,240.2,1.4,11.5,148.5,104.2,1.1,3.5,8.7,15.2,0,910.8
14,Community & Social Services,17.9,0,629.4,1.8,2.5,0,1.4,15.2,2.5,48.1,261.9,0,0,0,0.1,0.3,0.1,0,0.6,0.2,982.0
15,"Arts, Design & Creative",2.6,29.8,14.6,0.2,15.0,9.3,81.7,12.9,2.1,70.8,17.4,100.2,0.2,26.6,20.3,33.2,8.3,2.9,78.0,10.0,536.1
16,Office & Administrative Support,1936.6,369.7,2625.4,159.0,235.6,217.2,211.9,347.3,252.5,308.2,563.1,62.5,68.2,204.4,540.5,715.6,595.2,727.4,671.2,415.1,11226.6
17,Engineering & Architecture,3.3,110.8,117.8,0,23.9,0.2,7.2,18.7,0.9,2.1,137.3,2.5,52.7,597.0,277.2,0.3,42.0,6.6,40.7,0.3,1441.5
,COLUMN TOTAL,5346.9,3826.8,12253.0,1016.8,1518.8,955.8,1019.0,1287.9,565.9,2299.1,3112.2,407.1,269.8,1761.9,1976.1,2328.3,1535.6,1236.0,2824.8,844.3,46386.1
