Function_ID,Function_Name,Sector_1_Finance & Financial ,Sector_2_Technology & Softwar,Sector_3_Healthcare & Life Sc,Sector_4_Law Firms & Legal Se,Sector_5_Management Consultin,Sector_6_Accounting & Tax Fir,Sector_7_Advertising & PR Age,Sector_8_Staffing & Recruitme,Sector_9_Real Estate & Proper,Sector_10_Education & Academia,Sector_11_Government & Public ,Sector_12_Media Publishing & E,Sector_13_Energy & Utilities,Sector_14_Architecture & Engin,Sector_15_Manufacturing,Sector_16_Retail Trade,Sector_17_Construction,Sector_18_Transportation & War,Sector_19_Wholesale Trade,Sector_20_Accommodation & Food,Row_Total
1,Executive & General Management,9.0,6.4,8.7,0.7,6.0,1.3,2.3,2.0,3.0,1.6,4.9,1.3,0.9,4.3,6.8,7.7,10.6,4.3,9.8,8.4,100.0
2,Finance Accounting & FP&A,29.1,5.0,6.0,0.6,3.5,20.5,1.1,1.4,3.1,2.1,8.1,0.7,0.9,2.4,4.2,1.4,3.4,1.2,4.1,1.0,100.0
3,Legal & Compliance,8.6,2.2,4.0,52.8,1.3,0.3,0.6,0.8,1.0,0.7,21.9,0.3,0.5,0.8,1.1,0.4,0.6,1.0,1.0,0.1,100.0
4,Human Resources & People Ops,10.1,10.0,13.4,0.9,5.6,2.2,1.7,13.2,1.5,3.1,7.2,0.7,0.7,3.5,7.3,2.8,2.4,4.7,4.6,4.5,100.0
5,Marketing & Communications,12.6,14.8,8.7,1.1,11.7,1.1,11.6,2.3,2.5,4.6,1.7,3.2,0.6,3.3,4.4,2.6,2.0,1.1,8.5,1.5,100.0
6,Sales & Business Development,24.5,10.5,2.5,0.1,2.9,0.6,2.9,1.5,0.5,0.3,0.1,1.3,0.2,0.9,5.4,14.4,3.7,1.8,24.7,1.3,100.0
7,Information Technology,11.4,45.9,7.7,0.5,4.0,1.3,1.5,3.7,0.4,1.9,4.7,1.4,0.5,5.1,3.5,0.4,0.6,1.1,4.3,0.1,100.0
8,Data Analytics & Research,19.1,14.6,11.3,0.3,19.0,2.7,2.2,3.0,0.4,1.8,14.5,0.7,0.9,3.7,2.2,0.2,0.2,0.9,2.4,0.0,100.0
9,Supply Chain Procurement & Operations,5.7,9.8,8.5,0.5,6.3,0.7,1.7,2.6,1.8,1.8,5.8,0.6,1.2,12.6,8.4,0.7,15.9,7.1,7.5,0.8,100.0
10,Strategy & Corporate Development,11.6,8.4,8.8,0.4,13.3,2.0,1.7,3.1,1.3,3.9,26.9,0.7,1.0,3.8,4.6,1.1,1.4,1.5,3.6,0.7,100.0
11,Healthcare & Clinical,1.1,0.1,82.0,0.0,0.1,0.1,2.3,2.4,0.0,0.9,3.9,0.0,0.0,0.1,0.1,6.6,0.0,0.0,0.3,0.1,100.0
12,Education & Instruction,0.0,0.8,2.4,0.0,0.0,0.0,0.0,4.6,0.0,87.8,4.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0
13,Science & Research,0.2,0.4,28.5,0.0,6.1,0.0,1.1,1.4,0.0,3.5,26.4,0.2,1.3,16.3,11.4,0.1,0.4,1.0,1.7,0.0,100.0
14,Community & Social Services,1.8,0.0,64.1,0.2,0.3,0.0,0.1,1.5,0.3,4.9,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0
15,"Arts, Design & Creative",0.5,5.6,2.7,0.0,2.8,1.7,15.2,2.4,0.4,13.2,3.2,18.7,0.0,5.0,3.8,6.2,1.5,0.5,14.5,1.9,100.0
16,Office & Administrative Support,17.3,3.3,23.4,1.4,2.1,1.9,1.9,3.1,2.2,2.7,5.0,0.6,0.6,1.8,4.8,6.4,5.3,6.5,6.0,3.7,100.0
17,Engineering & Architecture,0.2,7.7,8.2,0.0,1.7,0.0,0.5,1.3,0.1,0.1,9.5,0.2,3.7,41.4,19.2,0.0,2.9,0.5,2.8,0.0,100.0
