SOC_Code,SOC_Title,Delta_Sector_ID,Delta_Sector,Delta_Sub_Industry,NAICS_Code,NEM_Code,Employment_2024_thousands,Employment_2034_thousands
11-1011,Chief executives,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.1
11-1021,General and operations managers,13,Energy & Utilities,Oil & Gas,2111,211000,7.3,5.9
11-2021,Marketing managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.3
11-2022,Sales managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.2
11-2032,Public relations managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.1
11-3012,Administrative services managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
11-3013,Facilities managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
11-3021,Computer and information systems managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.6,0.5
11-3031,Financial managers,13,Energy & Utilities,Oil & Gas,2111,211000,2.2,1.8
11-3051,Industrial production managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.9,0.8
11-3061,Purchasing managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.1
11-3071,"Transportation, storage, and distribution managers",13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
11-3121,Human resources managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
11-9021,Construction managers,13,Energy & Utilities,Oil & Gas,2111,211000,1.5,1.2
11-9041,Architectural and engineering managers,13,Energy & Utilities,Oil & Gas,2111,211000,1.2,1.0
11-9121,Natural sciences managers,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.1
11-9141,"Property, real estate, and community association managers",13,Energy & Utilities,Oil & Gas,2111,211000,1.2,0.9
11-9199,"Managers, all other",13,Energy & Utilities,Oil & Gas,2111,211000,1.6,1.3
13-1020,Buyers and purchasing agents,13,Energy & Utilities,Oil & Gas,2111,211000,0.7,0.6
13-1041,Compliance officers,13,Energy & Utilities,Oil & Gas,2111,211000,1.0,0.8
13-1071,Human resources specialists,13,Energy & Utilities,Oil & Gas,2111,211000,0.5,0.4
13-1081,Logisticians,13,Energy & Utilities,Oil & Gas,2111,211000,0.5,0.4
13-1082,Project management specialists,13,Energy & Utilities,Oil & Gas,2111,211000,0.9,0.7
13-1111,Management analysts,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.3
13-1141,"Compensation, benefits, and job analysis specialists",13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.0
13-1151,Training and development specialists,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.1
13-1161,Market research analysts and marketing specialists,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.2
13-1199,"Business operations specialists, all other",13,Energy & Utilities,Oil & Gas,2111,211000,0.9,0.8
13-2011,Accountants and auditors,13,Energy & Utilities,Oil & Gas,2111,211000,5.0,4.1
13-2051,Financial and investment analysts,13,Energy & Utilities,Oil & Gas,2111,211000,0.7,0.6
13-2099,"Financial specialists, all other",13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
15-1211,Computer systems analysts,13,Energy & Utilities,Oil & Gas,2111,211000,0.5,0.4
15-1212,Information security analysts,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.1
15-1231,Computer network support specialists,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.0
15-1232,Computer user support specialists,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.2
15-1241,Computer network architects,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.2
15-1243,Database architects,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.0
15-1244,Network and computer systems administrators,13,Energy & Utilities,Oil & Gas,2111,211000,0.5,0.4
15-1252,Software developers,13,Energy & Utilities,Oil & Gas,2111,211000,0.7,0.6
15-1299,"Computer occupations, all other",13,Energy & Utilities,Oil & Gas,2111,211000,0.7,0.5
15-2031,Operations research analysts,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.3
15-2051,Data scientists,13,Energy & Utilities,Oil & Gas,2111,211000,0.4,0.3
17-1021,Cartographers and photogrammetrists,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.1
17-1022,Surveyors,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.1
17-2041,Chemical engineers,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.1
17-2051,Civil engineers,13,Energy & Utilities,Oil & Gas,2111,211000,0.5,0.4
17-2071,Electrical engineers,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.2
17-2072,"Electronics engineers, except computer",13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.0
17-2081,Environmental engineers,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",13,Energy & Utilities,Oil & Gas,2111,211000,0.4,0.3
17-2112,Industrial engineers,13,Energy & Utilities,Oil & Gas,2111,211000,1.7,1.4
17-2131,Materials engineers,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.1
17-2141,Mechanical engineers,13,Energy & Utilities,Oil & Gas,2111,211000,0.6,0.5
17-2151,"Mining and geological engineers, including mining safety engineers",13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.1
17-2171,Petroleum engineers,13,Energy & Utilities,Oil & Gas,2111,211000,6.3,5.1
17-2199,"Engineers, all other",13,Energy & Utilities,Oil & Gas,2111,211000,0.6,0.5
17-3023,Electrical and electronic engineering technologists and technicians,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
17-3024,Electro-mechanical and mechatronics technologists and technicians,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
17-3025,Environmental engineering technologists and technicians,13,Energy & Utilities,Oil & Gas,2111,211000,0.1,0.1
17-3026,Industrial engineering technologists and technicians,13,Energy & Utilities,Oil & Gas,2111,211000,0.2,0.2
17-3028,Calibration technologists and technicians,13,Energy & Utilities,Oil & Gas,2111,211000,0.3,0.2
17-3029,"Engineering technologists and technicians, except drafters, all other",13,Energy & Utilities,Oil & Gas,2111,211000,0.5,0.4
