Delta_Sector_ID,Delta_Sector,SOC_Code,SOC_Title,Employment_Thousands,Staffing_Share_Pct
1,Finance & Financial Services,43-4051,Customer service representatives,531.4,8.02
1,Finance & Financial Services,41-3021,Insurance sales agents,478.8,7.23
1,Finance & Financial Services,41-3031,"Securities, commodities, and financial services sales agents",455.3,6.87
1,Finance & Financial Services,43-3071,Tellers,338.5,5.11
1,Finance & Financial Services,11-3031,Financial managers,267.9,4.04
1,Finance & Financial Services,13-1031,"Claims adjusters, examiners, and investigators",262.5,3.96
1,Finance & Financial Services,13-2052,Personal financial advisors,254.7,3.84
1,Finance & Financial Services,13-2072,Loan officers,243.6,3.68
1,Finance & Financial Services,11-1021,General and operations managers,227.0,3.43
1,Finance & Financial Services,43-9041,Insurance claims and policy processing clerks,205.5,3.1
1,Finance & Financial Services,43-1011,First-line supervisors of office and administrative support workers,196.2,2.96
1,Finance & Financial Services,15-1252,Software developers,174.6,2.63
1,Finance & Financial Services,13-2051,Financial and investment analysts,154.4,2.33
1,Finance & Financial Services,43-4131,Loan interviewers and clerks,149.6,2.26
1,Finance & Financial Services,13-1111,Management analysts,135.0,2.04
1,Finance & Financial Services,13-2011,Accountants and auditors,125.3,1.89
1,Finance & Financial Services,13-2053,Insurance underwriters,120.4,1.82
1,Finance & Financial Services,43-9061,"Office clerks, general",115.9,1.75
1,Finance & Financial Services,43-3031,"Bookkeeping, accounting, and auditing clerks",89.4,1.35
1,Finance & Financial Services,13-1161,Market research analysts and marketing specialists,88.3,1.33
1,Finance & Financial Services,11-3021,Computer and information systems managers,86.3,1.3
1,Finance & Financial Services,43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",85.8,1.29
1,Finance & Financial Services,13-1199,"Business operations specialists, all other",83.5,1.26
1,Finance & Financial Services,15-1211,Computer systems analysts,71.7,1.08
1,Finance & Financial Services,11-2022,Sales managers,65.2,0.98
1,Finance & Financial Services,29-1141,Registered nurses,61.4,0.93
1,Finance & Financial Services,43-6011,Executive secretaries and executive administrative assistants,60.4,0.91
1,Finance & Financial Services,13-1071,Human resources specialists,52.3,0.79
1,Finance & Financial Services,13-1041,Compliance officers,50.6,0.76
1,Finance & Financial Services,11-9199,"Managers, all other",49.8,0.75
1,Finance & Financial Services,13-2041,Credit analysts,49.4,0.75
